county_name,per_dem_2012,per_gop_2012,per_dem_2016,per_gop_2016,per_dem_2020,per_gop_2020
Alaska,,,0.3771594724804126,0.5288700180057424,,
Alaska,,,0.3771594724804126,0.5288700180057424,,
Alaska,,,0.3771594724804126,0.5288700180057424,,
Alaska,,,0.3771594724804126,0.5288700180057424,,
Alaska,,,0.3771594724804126,0.5288700180057424,,
Alaska,,,0.3771594724804126,0.5288700180057424,,
Alaska,,,0.3771594724804126,0.5288700180057424,,
Alaska,,,0.3771594724804126,0.5288700180057424,,
Alaska,,,0.3771594724804126,0.5288700180057424,,
Alaska,,,0.3771594724804126,0.5288700180057424,,
Alaska,,,0.3771594724804126,0.5288700180057424,,
Alaska,,,0.3771594724804126,0.5288700180057424,,
Alaska,,,0.3771594724804126,0.5288700180057424,,
Alaska,,,0.3771594724804126,0.5288700180057424,,
Alaska,,,0.3771594724804126,0.5288700180057424,,
Alaska,,,0.3771594724804126,0.5288700180057424,,
Alaska,,,0.3771594724804126,0.5288700180057424,,
Alaska,,,0.3771594724804126,0.5288700180057424,,
Alaska,,,0.3771594724804126,0.5288700180057424,,
Alaska,,,0.3771594724804126,0.5288700180057424,,
Alaska,,,0.3771594724804126,0.5288700180057424,,
Alaska,,,0.3771594724804126,0.5288700180057424,,
Alaska,,,0.3771594724804126,0.5288700180057424,,
Alaska,,,0.3771594724804126,0.5288700180057424,,
Alaska,,,0.3771594724804126,0.5288700180057424,,
Alaska,,,0.3771594724804126,0.5288700180057424,,
Alaska,,,0.3771594724804126,0.5288700180057424,,
Alaska,,,0.3771594724804126,0.5288700180057424,,
Alaska,,,0.3771594724804126,0.5288700180057424,,
Autauga County,0.2657576644778117,0.7263373624994772,0.2395685495316491,0.7343578930294797,0.27018365142239825,0.714368023046453
Baldwin County,0.2156657410457947,0.7738974914105521,0.1956530980975661,0.773514719948985,0.26423845682507424,0.7218701766088312
Barbour County,0.5125229077580941,0.483375512697443,0.4666025024061597,0.5227141482194417,0.364815353300378,0.6244838615876709
Bibb County,0.2621856751281134,0.7306638064593016,0.2142203932327389,0.7696616369455875,0.5652417537262324,0.42441071361864796
Blount County,0.1234778982485404,0.864929107589658,0.0846990230066183,0.8985187519697447,0.21839336709237026,0.7652048366720808
Bullock County,0.763068822865739,0.2350507709665287,0.7509040629653265,0.242288874707509,0.7470192933015392,0.24842835464990246
Butler County,0.4605082779711062,0.5358009068860066,0.4278641335636154,0.5631548647092689,0.3376854724890183,0.6478123893243964
Calhoun County,0.3352076124567474,0.6546712802768166,0.2785587639311043,0.6923969942586964,0.3564484849982089,0.6288832343095717
Chambers County,0.4706084329075676,0.5216316440049443,0.4182755116852954,0.5663376397154885,0.2805393112410656,0.7067901234567902
Cherokee County,0.2178055527097633,0.767749206023973,0.1451013996001142,0.8387127487384557,0.27557317470794535,0.7088837109434022
Chilton County,0.1945049902489388,0.7978662383847654,0.1593536017529444,0.8254176937825254,0.1591403417918177,0.8329880890730191
Choctaw County,0.4752040175768989,0.5210295040803515,0.4277655476059439,0.5643918547055586,0.3078591404600194,0.684607042976999
Clarke County,0.456859767122297,0.5397410862804658,0.4415584415584415,0.5495516388373531,0.5761962342373467,0.4091322623366154
Clay County,0.2665662650602409,0.7231927710843373,0.1877662811929397,0.795800365185636,0.3684744408945687,0.6139536741214058
Cleburne County,0.1540780704538241,0.8360837829260552,0.1047152480097979,0.8784445805266381,0.1337720399859346,0.8445270507861556
Coffee County,0.248490996703018,0.7424803449150393,0.2044557110125286,0.7714619997075025,0.24755953440935066,0.734325168768516
Colbert County,0.3918884230341405,0.5960041071275777,0.2962722325996914,0.6788759847315845,0.2991823854263788,0.688625116545937
Conecuh County,0.5063453586197063,0.4896620561813774,0.469050894085282,0.5216261653675683,0.46048750194069243,0.5343890700201832
Coosa County,0.4173183292008392,0.5775319473583826,0.340800306337354,0.6463718169634309,0.3277970432560686,0.6627121737543348
Covington County,0.2046707752189425,0.78806357444048,0.150398280440005,0.8358831710709318,0.22898399313458453,0.7626581097720234
Crenshaw County,0.3194509436905319,0.6747777257838091,0.2659948816378759,0.7215291106845809,0.2569140093698051,0.7350763185733716
Cullman County,0.1463319066851528,0.8418228946892519,0.1000590160416331,0.878105048554107,0.10699863802537574,0.8812214761893383
Dale County,0.2847824915098916,0.7064309201660288,0.2367728420261051,0.7411505613149272,0.2619313000303982,0.724642820954504
Dallas County,0.6973156285823462,0.300152846771112,0.6847837693539776,0.3088093966898024,0.6360356045104877,0.34660337064247715
DeKalb County,0.2195705058300478,0.7682241422699438,0.1411485087786552,0.8348922793835774,0.7165868107883386,0.2697832978225848
Elmore County,0.2522573363431151,0.7399266365688487,0.228586912342501,0.7483809781872375,0.258772014428734,0.72450377114639
Escambia County,0.3692017259978425,0.6245280474649406,0.3088148294222047,0.6758693222901466,0.4071622593702022,0.5773128912079535
Etowah County,0.3010590727229936,0.6849140974346906,0.2380733311864562,0.7391084326263974,0.2423524974857526,0.7443848474689909
Fayette County,0.2278816986855409,0.762639029322548,0.1656905807711078,0.818081991215227,0.4370448325595381,0.5469220615740575
Franklin County,0.2920158393958928,0.6968413297725389,0.1837724801338352,0.7918025930572982,0.5176424067058888,0.4655692776371595
Geneva County,0.1801555045060965,0.8104788831949108,0.1305429282099665,0.8548760614117848,0.12714228776404943,0.8647269828616979
Greene County,0.8472222222222222,0.1499624624624624,0.8239407651172357,0.1723570547099958,0.354942622338246,0.6254848045190868
Hale County,0.6259851645804357,0.3714649976819656,0.5957553058676655,0.3960049937578027,0.39792071289843484,0.5921969610419284
