State,County,per_dem_2000,per_gop_2000,per_dem_2004,per_gop_2004,per_dem_2008,per_gop_2008,per_dem_2012,per_gop_2012,per_dem_2016,per_gop_2016,per_dem_2020,per_gop_2020
ALABAMA,AUTAUGA,0.2871920035523059,0.696943281789317,0.23694039129677785,0.7567352219726432,0.2577302143489149,0.7361363729384813,0.2658783218009868,0.7261825168284378,0.23769671235426393,0.7276658788581004,0.2701836513251049,0.7143680227892085
ALABAMA,BALDWIN,0.24782223791646205,0.7236543908067183,0.2250288516697881,0.7641517598436018,0.2381192192600544,0.7525947943507063,0.21589444324733478,0.7735826946057345,0.19385601006208517,0.7654571232720204,0.22409029985465856,0.7617137281738788
ALABAMA,BARBOUR,0.4990860986059778,0.49023568976408305,0.4483622525300527,0.547369397283688,0.4898538258900655,0.5043852102283877,0.5136849417727997,0.48223129682663024,0.4652784406674196,0.5209666629850352,0.457881726128654,0.5345122641809162
ALABAMA,BIBB,0.38163638870351163,0.6017462320775296,0.2748684206909626,0.7199999990526316,0.2659648307890273,0.7244331319708085,0.26152018971315893,0.7282660323892327,0.21249574757626064,0.7640322023312935,0.2069828033277928,0.7842626359726289
ALABAMA,BLOUNT,0.2769153729055164,0.7047793909170537,0.18312872015293494,0.8085007436716422,0.1451353689598486,0.8401945024765342,0.12371907018090517,0.8646588349309927,0.08425824601990846,0.8933484442342706,0.09569377986961948,0.8957155281659723
ALABAMA,BULLOCK,0.6922920051135971,0.29221043986090856,0.6805172764881975,0.31672673242160965,0.7407202202387438,0.25687903923014027,0.7630589989420162,0.23506200632269447,0.7494692128461375,0.242038216046628,0.7470192916821607,0.24842835411136277
ALABAMA,BUTLER,0.4621299494269769,0.5288991406780736,0.4055370717614816,0.5916112160270779,0.43135235304217495,0.5649397460449689,0.460614995302638,0.5356992412218837,0.4267063668956638,0.5612688953718863,0.417896289610143,0.5752529504898262
ALABAMA,CALHOUN,0.40558739612799416,0.573286386035805,0.33333333325966685,0.6588874890806675,0.331708703884548,0.6569188902447263,0.33532222142911944,0.6545603907182566,0.27665886673143514,0.6866329599100298,0.2984524252597037,0.6884843966246622
ALABAMA,CHAMBERS,0.47456481284893964,0.5101402733563121,0.4102977283530558,0.5848680167396655,0.4546001601667557,0.5393821873900895,0.4702621309491054,0.5219355276696082,0.4161151076143057,0.5642446039106154,0.4164485733993401,0.5726903948098074
ALABAMA,CHEROKEE,0.4470152109842577,0.5309983375546486,0.3359487232446141,0.6545474630848188,0.23663417112710705,0.7488968694213475,0.2180182020472255,0.7675631447309917,0.14413491088779007,0.8341563394818259,0.13202178673927178,0.8603365573040106
ALABAMA,CHILTON,0.31844685905218206,0.6669758808196555,0.22632241045568657,0.7685257288872427,0.2065785773367565,0.7849311212904521,0.19453670816943266,0.7978467524923567,0.15847351507514099,0.821002775969839,0.15914034170940428,0.8329880886416426
ALABAMA,CHOCTAW,0.5027122314853374,0.488201789411172,0.4570361139379603,0.5392278946461493,0.4606029890288789,0.5349632625602189,0.47515060181331503,0.5210843366954263,0.4263576516369204,0.5630828297269846,0.41894426524793105,0.575562700193512
ALABAMA,CLARKE,0.4351748507857377,0.5569196423391745,0.40609092469186336,0.5906617512807953,0.4401935240489814,0.5557126903195291,0.4572955017996567,0.5393112406762608,0.4411787273108904,0.5479241803791542,0.4381423673862639,0.5575942135077319
ALABAMA,CLAY,0.3476117621152273,0.632160461274587,0.2878649630658988,0.7031630159623433,0.2581023606715026,0.7308989577197552,0.2667367153006054,0.7230561382121643,0.18674516880020356,0.7918176316548647,0.18282828256446135,0.8082251070588382
ALABAMA,CLEBURNE,0.32678711640458147,0.6545561652502825,0.23991031348756414,0.7537081739328938,0.1799137397105457,0.8034503992553137,0.15400475788421134,0.8361617750417736,0.1037463975371661,0.8742605780763528,0.09339975080476028,0.8971910877304676
ALABAMA,COFFEE,0.3382143317751624,0.6439030707244375,0.25431425961948556,0.739044050443322,0.252335055518514,0.7412062794409746,0.24911482030899604,0.7418310567820784,0.20325516434571428,0.7644339573532846,0.2278787877764854,0.7586531983126136
ALABAMA,COLBERT,0.4896433213404963,0.48848225873653994,0.4427825358501013,0.5509922705030322,0.39057279700898734,0.5932858348052628,0.3919606583741883,0.5959375665614978,0.2934778244858608,0.6721252254978426,0.29918238531909114,0.688625116298994
ALABAMA,CONECUH,0.5013511070053124,0.48621869845754156,0.4515861145132269,0.5432652374302188,0.4938787260638359,0.4997839543428144,0.506266020355645,0.489746510268091,0.46772968797611286,0.51936218599945,0.46048750122576076,0.5343890691905153
ALABAMA,COOSA,0.4606962985314292,0.521567767633966,0.41091781561504137,0.5808838220738176,0.40859248533418574,0.5838576297252245,0.41582842965301114,0.5786676777781976,0.33929931390080104,0.6437547588656611,0.3277970426577897,0.6627121725447852
ALABAMA,COVINGTON,0.3261588185365762,0.658267831735644,0.23401927925478958,0.7601695489436183,0.20523215290730845,0.7882434909810329,0.20475912584791603,0.7879789919030157,0.14974905887719633,0.8323086569433447,0.15611015481577156,0.83683304599149
ALABAMA,CRENSHAW,0.403336808335064,0.5824817506100485,0.3087272721659504,0.6867272714786777,0.30805913160378456,0.6865363206381556,0.319414147211882,0.6748208154022736,0.2655177911831534,0.7201212689961365,0.2569140089815415,0.735076317462481
ALABAMA,CULLMAN,0.3304995765180357,0.6488399659106384,0.2286095876137053,0.7620698471876133,0.16609545385466776,0.8184676389127693,0.14661752324734667,0.8415996747129466,0.10028252314306166,0.871042695093855,0.10699863799980916,0.8812214759787766
